COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Reference	p_Chennai	N_Reference	N_Chennai
Molybdopterin-guanine dinucleotide biosynthesis protein A (MobA) (PDB:1E5K) (PUBMED:32239579)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0746	GC_00003349	1	0.5455	20	11
Superfamily II RNA helicase (Dob10) (PDB:4A4Z)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG4581	GC_00003392	1	0.5455	20	11
Ribonucleotide reductase alpha subunit (NrdA) (PDB:1R1R)!!!Anaerobic ribonucleoside-triphosphate reductase (NrdD) (PDB:4COI)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0209!!!COG1328	GC_00003400	1	0.5455	20	11
4-hydroxybenzoate synthetase (chorismate-pyruvate lyase) (UbiC) (PDB:1FW9)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG3161	GC_00003361	1	0.5455	20	11
Sulfate transporter CysZ (CysZ) (PDB:3TX3) (PUBMED:24657232)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG2981	GC_00003345	1	0.5455	20	11
DNA-directed RNA polymerase, beta subunit/140 kD subunit (RpoB) (PDB:5UAJ)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0085	GC_00003324	1	0.5455	20	11
Ribosomal protein S7 (RpsG) (PDB:4V4H)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0049	GC_00003307	1	0.5455	20	11
Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase (HisA) (PDB:4U28)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0106	GC_00003314	1	0.5455	20	11
Flagellin-specific chaperone FliS (FliS) (PDB:1ORJ)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG1516	GC_00003362, GC_00003972	1	0.5455	20	11
Acyl carrier protein (AcpP) (PDB:1ACP)!!!O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)!!!Thioesterase domain of type I polyketide synthase or non-ribosomal peptide synthetase (EntF2) (PDB:5JA1)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0236!!!COG0318!!!COG3319	GC_00003399	1	0.5455	20	11
Predicted lipid-binding transport protein, Tim44 family (Tim44) (PDB:2CW9)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG4395	GC_00003335	1	0.5455	20	11
FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K (AtpE) (PDB:1C17)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0636	GC_00003407, GC_00007831	1	0.5455	20	11
Uncharacterized membrane protein, DMT/DUF486 family (PUBMED:21873409)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG3169	GC_00003337	1	0.5455	20	11
Putative translation regulator, IMPACT (imprinted ancient) protein family (YIH1) (PDB:1VI7) (PUBMED:15126500)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG1739	GC_00003381	1	0.5455	20	11
Cytochrome c oxidase assembly protein CtaG (CtaG) (PUBMED:14766920)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG3336	GC_00003378	1	0.5455	20	11
RecG-like helicase (RecG) (PDB:1GM5)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG1200	GC_00003342	1	0.5455	20	11
dTDP-4-amino-4,6-dideoxygalactose transaminase (WecE) (PDB:4PIW) (PUBMED:15271350)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0399	GC_00003370, GC_00004196, GC_00004663, GC_00005412, GC_00005432, GC_00005937	1	0.5455	20	11
Phenylalanyl-tRNA synthetase alpha subunit (PheS) (PDB:3L4G)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0016	GC_00003360	1	0.5455	20	11
Ribosomal protein S12 (RpsL) (PDB:4V4H)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0048	GC_00003310	1	0.5455	20	11
Aspartate ammonia-lyase (AspA) (PDB:6WNG)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG1027	GC_00003346	1	0.5455	20	11
NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains (NhaP2)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG3263	GC_00003330, GC_00003771	1	0.5455	20	11
Peptide chain release factor RF-3 (PrfC) (PDB:3UOQ)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG4108	GC_00003319	1	0.5455	20	11
Uncharacterized conserved protein YafD, endonuclease/exonuclease/phosphatase (EEP) superfamily (YafD)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG3021	GC_00003153	1	0.5455	20	11
UTP pyrophosphatase, metal-dependent hydrolase family (YgjP) (PDB:4JIU) (PUBMED:27941785)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG1451	GC_00003372, GC_00005395, GC_00005456, GC_00005616	1	0.5455	20	11
Chaperonin GroEL (HSP60 family) (GroEL) (PDB:1AON)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0459	GC_00003308	1	0.5455	20	11
K+ transport ATPase, ATPase subunit KdpB (KdpB) (PDB:5MRW)	10.768437819049687	0.0010324561459456381	0.016980462080319263	Reference	COG2216	GC_00003803	0.6	0	20	11
K+-transporting ATPase, KdpC subunit (KdpC) (PDB:5MRW)	10.768437819049687	0.0010324561459456381	0.016980462080319263	Reference	COG2156	GC_00003795	0.6	0	20	11
K+-transporting ATPase, KdpA subunit (KdpA) (PDB:5MRW)	10.768437819049687	0.0010324561459456381	0.016980462080319263	Reference	COG2060	GC_00003802	0.6	0	20	11
Type IV pilus assembly protein PilF/PilW (PilF) (PDB:2VQ2) (PUBMED:16403447)!!!Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains (BepA) (PDB:6AIT) (PUBMED:24003122)	10.330558279711642	0.0013084562262772551	0.021377228544542968	Reference	COG3063!!!COG4783	GC_00003665	0.85	0.2727	20	11
Flagellar biosynthesis/type III secretory pathway chaperone FlgN (FlgN) (PDB:2FUP)	9.965124625461431	0.001595333782540102	0.025892687115305468	Reference	COG3418	GC_00003511	0.95	0.4545	20	11
LPS O-antigen chain length determinant protein, WzzB/FepE family (WzzB) (PDB:3B8N)	9.377579335902281	0.002196554152650142	0.03429682971258165	Reference	COG3765	GC_00003889, GC_00004198, GC_00006972	0.55	0	20	11
Zn-binding Pro-Ala-Ala-Arg (PAAR) domain, involved in Type VI secretion (PAAR) (PDB:4JIV)	9.377579335902281	0.002196554152650142	0.03429682971258165	Reference	COG4104	GC_00004040, GC_00004126, GC_00004248, GC_00005410	0.55	0	20	11
Type VI protein secretion system component VasK (IcmF)	9.377579335902281	0.002196554152650142	0.03429682971258165	Reference	COG3523	GC_00003737	0.55	0	20	11
DNA-binding transcriptional regulator, GntR family (MngR) (PDB:2WV0)	9.377579335902281	0.002196554152650142	0.03429682971258165	Reference	COG2188	GC_00003925, GC_00004552, GC_00007643	0.55	0	20	11
Fic family protein (PDB:3CUC)	9.377579335902281	0.002196554152650142	0.03429682971258165	Reference	COG3177	GC_00004257, GC_00004356, GC_00004776, GC_00005130, GC_00006436, GC_00006817	0.55	0	20	11
Uncharacterized conserved protein VgrG, implicated in type VI secretion and phage assembly (VgrG) (PDB:6SJL) (PUBMED:16980477)	9.377579335902281	0.002196554152650142	0.03429682971258165	Reference	COG3501	GC_00002741, GC_00005947, GC_00007309	0.55	0	20	11
Altronate dehydratase (UxaA) (PDB:6U7L)	9.250859439828409	0.0023538493101553123	0.03629341405095722	Reference	COG2721	GC_00003695	0.75	0.1818	20	11
DNA-binding transcriptional regulator, XRE-family HTH domain (XRE) (PDB:1UTX)	9.250859439828409	0.0023538493101553123	0.03629341405095722	Reference	COG1476	GC_00004018, GC_00004240, GC_00004432	0.75	0.1818	20	11
Uncharacterized conserved protein, DUF2384 family	8.957200167023444	0.0027637813368944363	0.04234936992620232	Reference	COG5642	GC_00003970, GC_00004360, GC_00004479, GC_00005099, GC_00005191, GC_00006061	0.65	0.0909	20	11
Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit (PorG) (PDB:1B0P)!!!TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit (IorA)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG1014!!!COG4231	GC_00003179	1	0.6364	20	11
Deoxyxylulose-5-phosphate synthase (Dxs) (PDB:2O1S)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG1154	GC_00003243	1	0.6364	20	11
3-phosphoglycerate kinase (Pgk) (PDB:13PK)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0126	GC_00003250	1	0.6364	20	11
Ribosomal protein L11 (RplK) (PDB:2E34)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0080	GC_00003185	1	0.6364	20	11
FoF1-type ATP synthase, beta subunit (AtpD) (PDB:3OAA)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0055	GC_00003183	1	0.6364	20	11
DNA repair exonuclease SbcCD ATPase subunit (SbcC) (PDB:3QKR)!!!Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfC subunit (RnfC)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0419!!!COG4656	GC_00003299	1	0.6364	20	11
Glucan phosphorylase (GlgP) (PDB:1A8I)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0058	GC_00003042, GC_00003661	1	0.6364	20	11
Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit RuvB (RuvB) (PDB:1HQC)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG2255	GC_00003197	1	0.6364	20	11
Predicted DNA-binding transcriptional regulator YobV, contains HTH and WYL domains (YobV)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG2378	GC_00000081, GC_00004326, GC_00004355, GC_00004435, GC_00004523, GC_00004543, GC_00004759, GC_00004761, GC_00004785, GC_00005711	1	0.6364	20	11
PAS domain (PAS) (PDB:2MWG)!!!Sensor histidine kinase WalK (WalK) (PDB:4I5S)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG2202!!!COG5002	GC_00003288	1	0.6364	20	11
PAS domain (PAS) (PDB:2MWG)!!!K+-sensing histidine kinase KdpD (KdpD) (PDB:2KSF)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG2202!!!COG2205	GC_00003209	1	0.6364	20	11
Methionine synthase I (cobalamin-dependent), methyltransferase domain (MetH1) (PDB:1LT7)!!!Methionine synthase I, cobalamin-binding domain (MetH2) (PDB:4DJD)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0646!!!COG1410	GC_00003293	1	0.6364	20	11
Translation initiation factor 1 (eIF-1/SUI1) (SUI1) (PDB:1D1R)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0023	GC_00003229	1	0.6364	20	11
Phosphate uptake regulator PhoU (PhoU) (PDB:1T8B)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0704	GC_00003214	1	0.6364	20	11
Translation initiation factor IF-3 (InfC) (PDB:2IFE)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0290	GC_00003184	1	0.6364	20	11
Intermembrane transporter PqiABC subunit PqiB (PqiB) (PDB:5UVN) (PUBMED:27795327;28819315)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG3008	GC_00003286, GC_00007261, GC_00007707	1	0.6364	20	11
Phosphoaspartate phosphatase CheZ, dephosphorylates CheY~P (CheZ) (PDB:1KMI)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG3143	GC_00003220	1	0.6364	20	11
Holliday junction resolvasome RuvABC DNA-binding subunit (RuvA) (PDB:1BDX)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0632	GC_00003218	1	0.6364	20	11
Shikimate kinase (AroK) (PDB:1E6C)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0703	GC_00003237	1	0.6364	20	11
Ribosomal protein L4 (RplD) (PDB:1VS6)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0088	GC_00003186	1	0.6364	20	11
Isocitrate lyase (AceA) (PDB:1DQU)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG2224	GC_00003240	1	0.6364	20	11
Homoaconitase/3-isopropylmalate dehydratase large subunit (LeuC) (PDB:4KP1)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0065	GC_00003208	1	0.6364	20	11
Carbamoylphosphate synthase large subunit (CarB) (PDB:1C30)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0458	GC_00003228, GC_00007752	1	0.6364	20	11
ABC-type phosphate transport system, permease component (PstA)!!!ABC-type phosphate transport system, auxiliary component PstA (PstA)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0581!!!COG4985	GC_00003217	1	0.6364	20	11
Cytochrome c551/c552 (CytC552) (PDB:2ZXY)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG4654	GC_00003199	1	0.6364	20	11
Long-chain acyl-CoA synthetase (AMP-forming) (FAA1)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG1022	GC_00003303, GC_00004857	1	0.6364	20	11
Ribosomal protein L3 (RplC) (PDB:1VS6)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0087	GC_00003188	1	0.6364	20	11
2-Methylaconitate cis-trans-isomerase PrpF (2-methyl citrate pathway) (PrpF) (PDB:2H9F) (PUBMED:17567742)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG2828	GC_00003258	1	0.6364	20	11
tRNA A37 threonylcarbamoyladenosine dehydratase (TcdA) (PDB:4D7A) (PUBMED:27913733)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG1179	GC_00003270, GC_00007371	1	0.6364	20	11
DNA topoisomerase IA (TopA) (PDB:1CY0)!!!DNA topoisomerase I, ssDNA-binding Zn-finger and Zn-ribbon domains (YrdD) (PDB:1YUA)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0550!!!COG0551	GC_00003232	1	0.6364	20	11
Ribosomal protein L20 (RplT) (PDB:1VS6) (PUBMED:30270044)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0292	GC_00003182	1	0.6364	20	11
ABC-type molybdate transport system, permease component ModB (ModB)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG4149	GC_00003264	1	0.6364	20	11
Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF (NqrF) (PDB:4P6V)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG2871	GC_00003195, GC_00004498, GC_00004549, GC_00006468	1	0.6364	20	11
Ribosomal protein L35 (RpmI) (PDB:1VS6) (PUBMED:28373563)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0291	GC_00003187	1	0.6364	20	11
Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) (PurK) (PDB:1B6R)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0026	GC_00003230	1	0.6364	20	11
Preprotein translocase subunit SecE (SecE) (PDB:5MG3) (PUBMED:29684280)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0690	GC_00003193	1	0.6364	20	11
Ribosomal protein L10 (RplJ) (PDB:5IT8)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0244	GC_00003200	1	0.6364	20	11
Ribosomal protein L7/L12 (RplL) (PDB:1CTF)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0222	GC_00003192	1	0.6364	20	11
Cold shock protein, CspA family (CspC) (PDB:1C9O)!!!Uncharacterized membrane protein YsdA, DUF1294 family (YsdA)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG1278!!!COG3326	GC_00003277	1	0.6364	20	11
ABC-type molybdate transport system, periplasmic Mo-binding protein ModA (ModA) (PDB:1AMF)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0725	GC_00003274	1	0.6364	20	11
Triacylglycerol esterase/lipase EstA, alpha/beta hydrolase fold (EstA) (PDB:1I6W)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG1075	GC_00003216, GC_00004951, GC_00007304	1	0.6364	20	11
Ribosomal protein L2 (RplB) (PDB:1VS6)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0090	GC_00003191	1	0.6364	20	11
Small-conductance mechanosensitive channel MscK (MscK)!!!Mu-like prophage I protein	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG3264!!!COG4388	GC_00003283	1	0.6364	20	11
Ribosomal protein L1 (RplA) (PDB:3J65)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0081	GC_00003206	1	0.6364	20	11
DNA repair photolyase (SplB)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG1533	GC_00003246	1	0.6364	20	11
Proline dehydrogenase (PutA) (PDB:5KF6)!!!Delta 1-pyrroline-5-carboxylate dehydrogenase (PutA2) (PDB:5KF6)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0506!!!COG4230	GC_00003289	1	0.6364	20	11
Succinate dehydrogenase/fumarate reductase, flavoprotein subunit (SdhA) (PDB:1KF6)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG1053	GC_00003210, GC_00004477, GC_00005668, GC_00007247	1	0.6364	20	11
3-5 helicase subunit RecB of the DNA repair enzyme RecBCD (exonuclease V) (RecB) (PDB:3U44) (PUBMED:29901759;30601118)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG1074	GC_00003302, GC_00004167, GC_00005881	1	0.6364	20	11
Uncharacterized conserved protein, DUF2219 family (PDB:3FID)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG3528	GC_00003292	1	0.6364	20	11
Protease II (PtrB) (PDB:4BP9)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG1770	GC_00003296	1	0.6364	20	11
Anti-sigma regulatory factor (Ser/Thr protein kinase) (RsbW) (PDB:1TIL)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG2172	GC_00003198, GC_00003480, GC_00007233	1	0.6364	20	11
DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG1555	GC_00002847	1	0.6364	20	11
UV DNA damage repair endonuclease (Uve) (PDB:2J6V)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG4294	GC_00003300	1	0.6364	20	11
tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain (MnmA) (PDB:2HMA) (PUBMED:25825430)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0482	GC_00003268	1	0.6364	20	11
Predicted nucleic-acid-binding protein, contains Zn-ribbon domain	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG3529	GC_00003196	1	0.6364	20	11
Serine/threonine protein kinase (SPS1) (PDB:6G4J)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0515	GC_00003284, GC_00003801, GC_00005397, GC_00007477	1	0.6364	20	11
Flagellin and related hook-associated protein FlgL (FlgL) (PDB:1IO1)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG1344	GC_00003282, GC_00003628, GC_00003884, GC_00003995, GC_00004289	1	0.6364	20	11
Ribosomal protein L23 (RplW) (PDB:1VS6)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0089	GC_00003189	1	0.6364	20	11
Uncharacterized conserved protein, DUF2132 family	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG4628	GC_00003207	1	0.6364	20	11
Uncharacterized membrane protein, DUF485 family (YjcH)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG3162	GC_00003222, GC_00004808	1	0.6364	20	11
Cell division ATPase FtsA (FtsA) (PDB:3WT0)	8.350259497786578	0.0038563225076665465	0.042471194760773975	Reference	COG0849	GC_00003219	1	0.6364	20	11
Ribosomal protein S27E (RPS27A) (PDB:1QXF)	8.350259497786576	0.003856322507666544	0.042471194760773975	Chennai	COG2051	GC_00004419	0	0.3636	20	11
TolB amino-terminal domain (function unknown) (TolBN) (PDB:1C5K) (PUBMED:10673426;24821816)	8.350259497786576	0.003856322507666544	0.042471194760773975	Chennai	COG5616	GC_00004349	0	0.3636	20	11
REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8)	8.119215924894263	0.004379849754560712	0.04718379626419772	Reference	COG1943	GC_00003796, GC_00006381, GC_00006455	0.5	0	20	11
Predicted component of the type VI protein secretion system, contains a FHA domain (PDB:1DMZ) (PUBMED:16698547)	8.119215924894263	0.004379849754560712	0.04718379626419772	Reference	COG3456	GC_00003877	0.5	0	20	11
